Wins
5
9
4
4
5
7
4
6
24
6
9
6
5
8
6
7
8
4
8
4
5
14
7
10
4
6
11
12
5
9
15
8
4
11
4
8
8
5
6
8
3
12
7
5
9
7
3
8
