Player,Salary,WS/48
Jaylen Wells,1157153,0.098
Jaylon Tyson,3326160,0.096
Jayson Tatum,34848340,0.202
Jeff Green,8000000,0.117
Jerami Grant,29793104,0.054
Jeremiah Robinson-Earl,2196970,0.062
Jeremy Sochan,5570040,0.106
Jericho Sims,2092344,0.122
Jett Howard,5278320,0.055
Jevon Carter,6500000,-0.096
Jimmy Butler,48798677,0.249
Jock Landale,8000000,0.134
Joe Ingles,2087519,0.092
Joel Embiid,51415938,0.068
John Collins,26580000,0.123
John Konchar,6165000,0.123
Johnny Davis,5291160,0.036
Johnny Furphy,1850842,0.005
Johnny Juzang,3087519,0.036
Jonas Valančiūnas,9900000,0.141
Jonathan Isaac,25000000,0.171
Jonathan Kuminga,7636307,0.065
Jonathan Mogbo,1862265,0.129
Jordan Clarkson,14092577,0.013
Jordan Hawkins,4525680,-0.005
Jordan McLaughlin,2087519,0.042
Jordan Poole,29651786,0.031
Jordan Walsh,1891857,0.009
Jose Alvarado,1988598,0.079
Josh Giddey,8352367,0.074
Josh Green,12654321,0.064
Josh Hart,18144000,0.182
Josh Minott,2019699,0.105
Josh Okogie,8250000,0.129
Josh Richardson,3051153,-0.018
Jrue Holiday,30000000,0.111
Julian Champagnie,3000000,0.089
Julian Phillips,1891857,0.032
Julian Strawther,2552520,0.069
Julius Randle,33073920,0.16
Jusuf Nurkić,18125000,0.034
Karl-Anthony Towns,49205800,0.236
Karlo Matković,1407153,-0.045
Keegan Murray,8809560,0.056
Kel'el Ware,4231800,-0.002
Keldon Johnson,19000000,0.091
Kelly Oubre Jr.,7983000,0.047
Kenrich Williams,6669000,0.194
Kentavious Caldwell-Pope,22757000,0.11
Keon Ellis,2120693,0.106
Keon Johnson,2162606,-0.027
Kevin Durant,51179021,0.105
Kevin Huerter,16830357,0.042
Kevin Love,3850000,0.16
Kevin Porter Jr.,3237691,-0.042
Kevin Porter Jr.,3237691,-0.042
Kevon Looney,8000000,0.209
Keyonte George,4084200,-0.029
KJ Martin,7975000,0.136
Klay Thompson,15873016,0.057
Kobe Brown,2533920,0.141
Kobe Bufkin,4299000,0.024
Kris Dunn,5168000,0.102
Kris Murray,2990040,0.028
Kristaps Porziņģis,29268293,0.261
Kyle Anderson,8780488,0.129
Kyle Filipowski,3000000,0.072
Kyle Kuzma,23522727,-0.103
Kyle Lowry,2087519,0.092
Kyrie Irving,41000000,0.182
Kyshawn George,2825520,-0.027
LaMelo Ball,35147000,0.116
Larry Nance Jr.,11205000,0.198
Lauri Markkanen,42176400,0.132
LeBron James,48728845,0.082
Lindy Waters III,2196970,0.114
Lonzo Ball,21395348,0.091
Luguentz Dort,16500000,0.146
Luka Dončić,43031940,0.175
Luka Garza,2162606,0.081
Luke Kennard,14763636,0.139
Luke Kornet,2087519,0.23
Malaki Branham,3217920,0.033
Malcolm Brogdon,22500000,0.075
Malevy Leons,1157153,-0.048
Malik Beasley,6000000,0.087
Malik Monk,17405203,0.146
Marcus Sasser,2755080,0.133
Marcus Smart,20210284,0.107
MarJon Beauchamp,2733720,-0.176
Mark Williams,4094280,-0.048
Markieff Morris,2087519,-0.219
Marvin Bagley III,12500000,-0.006
Mason Plumlee,2087519,0.114
Matas Buzelis,5195520,0.002
Max Christie,7142857,0.054
Maxi Kleber,11000000,-0.003
Maxwell Lewis,1891857,-0.061
Michael Porter Jr.,35859950,0.117
Mikal Bridges,23300000,0.061
Mike Conley,9975962,0.12
Miles Bridges,27173913,0.109
Miles McBride,4710144,0.119
Mo Bamba,2087519,0.119
Monte Morris,2087519,0.146
Moritz Wagner,11000000,0.175
Moses Moody,5803269,0.083
Mouhamed Gueye,1891857,-0.267
Myles Turner,19928500,0.033
Naji Marshall,8571429,0.128
Naz Reid,13986432,0.139
Neemias Queta,2162606,0.182
Nic Claxton,27556817,0.129
Nick Richards,5000000,0.224
Nick Smith Jr.,2587200,0.051
Nickeil Alexander-Walker,4312500,0.125
Nicolas Batum,4668000,0.103
Nikola Jokić,51415938,0.3
Nikola Jović,2464200,0.118
Nikola Vučević,20000000,0.173
Noah Clowney,3244080,0.043
Norman Powell,19241379,0.168
Obi Toppin,12975000,0.112
Ochai Agbaji,4310280,0.113
OG Anunoby,36637932,0.12
Olivier-Maxence Prosper,2870400,0.007
Onyeka Okongwu,14000000,0.148
Orlando Robinson,2087519,0.05
Oso Ighodaro,1157153,0.107
Ousmane Dieng,5027040,0.096
P.J. Washington,15500000,0.118
Pacome Dadiet,1808080,0.057
Paolo Banchero,12160800,0.225
Pascal Siakam,42176400,0.135
Pat Connaughton,9423869,0.034
Patrick Baldwin Jr.,2448840,0.055
Patrick Williams,18000000,-0.003
Patty Mills,2087519,-0.022
Paul George,49205800,0.06
Paul Reed,7723000,0.152
Payton Pritchard,6696429,0.209
Pelle Larsson,1157153,0.124
Peyton Watson,2413560,0.089
PJ Dozier,2087519,0.145
Quentin Grimes,4296682,0.125
Rayan Rupert,1891857,0.022
Reed Sheppard,10098960,0.065
Reggie Jackson,4033748,0.078
Reggie Jackson,4033748,0.078
Richaun Holmes,12648321,-0.033
Ricky Council IV,1891857,0.075
RJ Barrett,25794643,0.074
Rob Dillingham,6262920,-0.002
Robert Williams,12428571,0.264
Ron Holland,8245320,0.005
Royce O'Neale,9375000,0.099
Rudy Gobert,43827586,0.195
Rui Hachimura,17000000,0.088
Russell Westbrook,5631296,0.06
Russell Westbrook,5631296,0.06
Ryan Dunn,2530800,0.023
Ryan Rollins,600000,0.091
Sam Hauser,2092344,0.12
Sam Merrill,2164993,0.098
Sandro Mamukelashvili,2087519,0.157
Santi Aldama,3960531,0.16
Scoot Henderson,10259160,-0.011
Scottie Barnes,10130980,0.106
Scotty Pippen Jr.,2087519,0.138
Seth Curry,2087519,0.073
Shaedon Sharpe,6614160,0.04
Shai Gilgeous-Alexander,35859950,0.272
Shake Milton,2875000,0.09
Sidy Cissoko,1891857,0.068
Simone Fontecchio,7692308,0.05
Spencer Dinwiddie,2087519,0.127
Stephen Curry,55761216,0.183
Stephon Castle,9105120,0.015
Steven Adams,12600000,-0.009
Svi Mykhailiuk,3500000,-0.112
T.J. McConnell,9300000,0.09
Taj Gibson,2087519,0.042
Talen Horton-Tucker,2087519,0.193
Tari Eason,3695160,0.211
Taurean Prince,2087519,0.105
Taylor Hendricks,5848680,-0.008
Terance Mann,11423077,0.106
Terrence Shannon Jr.,2546640,0.03
Terry Rozier,24924126,0.05
Thomas Bryant,2087519,0.164
Tidjane Salaün,7488720,0.013
Tim Hardaway Jr.,16193183,0.062
Tobias Harris,25365854,0.093
Torrey Craig,2845342,0.144
Toumani Camara,1891857,0.052
Trae Young,43031940,0.074
Trayce Jackson-Davis,1891857,0.178
Tre Jones,9104167,0.086
Tre Mann,4908373,0.052
Trendon Watford,2726603,0.01
Trey Lyles,8000000,0.056
Trey Murphy III,5159854,0.022
Tristan Da Silva,3628440,0.093
Tristan Thompson,2087519,0.064
Ty Jerome,2560975,0.249
Tyler Herro,29000000,0.141
Tyler Kolek,2087519,0.062
Tyler Smith,1157153,0.099
Tyrese Haliburton,42176400,0.114
Tyrese Maxey,35147000,0.077
Tyus Jones,2087519,0.141
Vasilije Micić,7723000,-0.077
Victor Wembanyama,12768960,0.134
Vince Williams Jr.,2120693,-0.107
Vit Krejci,2162606,0.032
Vlatko Čančar,2087519,0.031
Walker Kessler,2965920,0.163
Wendell Carter Jr.,11950000,0.175
Wendell Moore Jr.,2537040,0.127
Xavier Tillman Sr.,2237691,-0.004
Yves Missi,3193200,0.1
Zaccharie Risacher,12569040,0.029
Zach Collins,16741200,0.131
Zach Edey,5756880,0.179
Zach LaVine,43031940,0.083
Zeke Nnaji,8888889,-0.038
Ziaire Williams,6133005,0.04
Zion Williamson,36725670,0.028
