Wins
5
9
4
4
5
7
4
6
24
5
9
6
5
8
6
7
8
4
8
4
3
14
7
10
4
6
11
12
5
9
15
8
4
11
4
8
8
5
6
8
3
12
7
5
8
7
3
8
4
7
3
10
7
9
3
4
6
7
3
11
7
3
4
9
6
2
14
3
4
1
3
2
4
3
4
15
